time_s,q1_rad,dq1_rad_s,w_fl_rad_s,q2_rad,dq2_rad_s,w_fr_rad_s,q3_rad,dq3_rad_s,w_bl_rad_s,q4_rad,dq4_rad_s,w_br_rad_s
14.333333,-1.396263,-0.209440,-1.348315,-1.329445,-0.073380,-1.348315,-1.586433,-0.066951,0.000000,-1.574638,-0.003217,0.000000
14.666667,-1.466077,-0.209440,-1.348315,-1.357153,-0.083123,-1.348315,-1.586020,0.001238,0.000000,-1.595193,-0.061663,0.000000
15.000000,-1.535890,-0.209440,-1.348315,-1.386857,-0.089111,0.000000,-1.591342,-0.015967,-0.351002,-1.608016,-0.038471,0.000000
15.333333,-1.605703,-0.209440,-1.348315,-1.418814,-0.095871,0.000000,-1.578098,0.039733,-0.340406,-1.637153,-0.087411,0.000000
15.666667,-1.640609,-0.104720,-0.676641,-1.436661,-0.053544,0.000000,-1.563878,0.042659,-0.413568,-1.642036,-0.014648,0.000000
16.000000,-1.640609,0.000000,-0.283856,-1.461443,-0.074344,0.000000,-1.541676,0.066607,-0.461266,-1.639457,0.007737,-0.461266
16.333333,-1.640609,0.000000,-0.283856,-1.486244,-0.074404,0.000000,-1.518224,0.070357,-0.461266,-1.638108,0.004047,-0.461266
16.666667,-1.640609,0.000000,-0.283856,-1.511078,-0.074503,0.000000,-1.493505,0.074156,-0.461266,-1.637992,0.000347,-0.461266
17.000000,-1.640609,0.000000,-0.283856,-1.535961,-0.074647,0.000000,-1.467499,0.078019,-0.461266,-1.639116,-0.003372,-0.461266
17.333333,-1.640609,0.000000,-0.283856,-1.560909,-0.074845,0.000000,-1.440178,0.081963,-0.461266,-1.641489,-0.007117,-0.461266
17.666667,-1.640609,0.000000,-0.283856,-1.585944,-0.075106,0.000000,-1.411509,0.086007,-0.461266,-1.645122,-0.010901,-0.461266
18.000000,-1.658063,-0.052360,-0.283856,-1.592321,-0.019130,0.000000,-1.400498,0.033033,-0.461266,-1.632303,0.038457,-0.461266
18.333333,-1.658063,0.000000,-0.292264,-1.601810,-0.028465,0.000000,-1.386351,0.042442,-0.380083,-1.616254,0.048149,-0.380083
18.666667,-1.605703,0.157080,-0.337248,-1.594443,0.022099,0.000000,-1.390071,-0.011162,0.000000,-1.554596,0.184972,0.000000
19.000000,-1.570796,0.104720,-0.362094,-1.568332,0.078333,0.000000,-1.405436,-0.046093,0.000000,-1.482587,0.216028,0.000000
